model,day_abs,day_order,period,origin_zone_id,dest_zone_id,y_sum
obs,5,5,night,230,230,20
obs,6,6,afternoon,100,100,13
obs,6,6,afternoon,100,161,75
obs,6,6,afternoon,100,162,19
obs,6,6,afternoon,100,163,32
obs,6,6,afternoon,100,186,4
obs,6,6,afternoon,100,230,31
obs,6,6,afternoon,161,100,15
obs,6,6,afternoon,161,161,33
obs,6,6,afternoon,161,162,15
obs,6,6,afternoon,161,163,51
obs,6,6,afternoon,161,186,10
obs,6,6,afternoon,161,230,25
obs,6,6,afternoon,162,100,32
obs,6,6,afternoon,162,161,41
obs,6,6,afternoon,162,162,29
obs,6,6,afternoon,162,163,25
obs,6,6,afternoon,162,186,26
obs,6,6,afternoon,162,230,25
obs,6,6,afternoon,163,100,11
obs,6,6,afternoon,163,161,21
obs,6,6,afternoon,163,162,17
obs,6,6,afternoon,163,163,13
obs,6,6,afternoon,163,186,4
obs,6,6,afternoon,163,230,7
obs,6,6,afternoon,186,100,14
obs,6,6,afternoon,186,161,97
obs,6,6,afternoon,186,162,67
obs,6,6,afternoon,186,163,34
obs,6,6,afternoon,186,186,15
obs,6,6,afternoon,186,230,73
obs,6,6,afternoon,230,100,9
obs,6,6,afternoon,230,161,17
obs,6,6,afternoon,230,162,11
obs,6,6,afternoon,230,163,17
obs,6,6,afternoon,230,186,18
obs,6,6,afternoon,230,230,12
obs,6,6,morning,100,100,7
obs,6,6,morning,100,161,18
obs,6,6,morning,100,162,17
obs,6,6,morning,100,163,14
obs,6,6,morning,100,186,16
obs,6,6,morning,100,230,21
obs,6,6,morning,161,100,23
obs,6,6,morning,161,161,61
obs,6,6,morning,161,162,40
obs,6,6,morning,161,163,44
obs,6,6,morning,161,186,60
obs,6,6,morning,161,230,42
obs,6,6,morning,162,100,25
obs,6,6,morning,162,161,34
obs,6,6,morning,162,162,44
obs,6,6,morning,162,163,31
obs,6,6,morning,162,186,40
obs,6,6,morning,162,230,29
obs,6,6,morning,163,100,21
obs,6,6,morning,163,161,51
obs,6,6,morning,163,162,36
obs,6,6,morning,163,163,21
obs,6,6,morning,163,186,29
obs,6,6,morning,163,230,23
obs,6,6,morning,186,100,15
obs,6,6,morning,186,161,36
obs,6,6,morning,186,162,45
obs,6,6,morning,186,163,24
obs,6,6,morning,186,186,18
obs,6,6,morning,186,230,37
obs,6,6,morning,230,100,26
obs,6,6,morning,230,161,29
obs,6,6,morning,230,162,33
obs,6,6,morning,230,163,31
obs,6,6,morning,230,186,68
obs,6,6,morning,230,230,30
obs,6,6,night,100,100,13
obs,6,6,night,100,161,26
obs,6,6,night,100,162,21
obs,6,6,night,100,163,13
obs,6,6,night,100,186,18
obs,6,6,night,100,230,22
obs,6,6,night,161,100,52
obs,6,6,night,161,161,130
obs,6,6,night,161,162,47
obs,6,6,night,161,163,72
obs,6,6,night,161,186,60
obs,6,6,night,161,230,52
obs,6,6,night,162,100,36
obs,6,6,night,162,161,77
obs,6,6,night,162,162,61
obs,6,6,night,162,163,27
obs,6,6,night,162,186,42
obs,6,6,night,162,230,36
obs,6,6,night,163,100,30
obs,6,6,night,163,161,82
obs,6,6,night,163,162,51
obs,6,6,night,163,163,32
obs,6,6,night,163,186,17
obs,6,6,night,163,230,32
obs,6,6,night,186,100,12
obs,6,6,night,186,161,53
obs,6,6,night,186,162,23
obs,6,6,night,186,163,26
obs,6,6,night,186,186,16
obs,6,6,night,186,230,73
obs,6,6,night,230,100,31
obs,6,6,night,230,161,54
obs,6,6,night,230,162,43
obs,6,6,night,230,163,38
obs,6,6,night,230,186,44
obs,6,6,night,230,230,29
obs,7,7,afternoon,100,100,8
obs,7,7,afternoon,100,161,70
obs,7,7,afternoon,100,162,25
obs,7,7,afternoon,100,163,37
obs,7,7,afternoon,100,186,4
obs,7,7,afternoon,100,230,32
obs,7,7,afternoon,161,100,14
obs,7,7,afternoon,161,161,52
obs,7,7,afternoon,161,162,18
obs,7,7,afternoon,161,163,48
obs,7,7,afternoon,161,186,12
obs,7,7,afternoon,161,230,36
obs,7,7,afternoon,162,100,30
obs,7,7,afternoon,162,161,38
obs,7,7,afternoon,162,162,27
obs,7,7,afternoon,162,163,15
obs,7,7,afternoon,162,186,27
obs,7,7,afternoon,162,230,26
obs,7,7,afternoon,163,100,15
obs,7,7,afternoon,163,161,41
obs,7,7,afternoon,163,162,19
obs,7,7,afternoon,163,163,13
obs,7,7,afternoon,163,186,5
obs,7,7,afternoon,163,230,9
obs,7,7,afternoon,186,100,14
obs,7,7,afternoon,186,161,78
obs,7,7,afternoon,186,162,52
obs,7,7,afternoon,186,163,49
obs,7,7,afternoon,186,186,16
obs,7,7,afternoon,186,230,65
obs,7,7,afternoon,230,100,13
obs,7,7,afternoon,230,161,14
obs,7,7,afternoon,230,162,21
obs,7,7,afternoon,230,163,14
obs,7,7,afternoon,230,186,22
obs,7,7,afternoon,230,230,10
obs,7,7,morning,100,100,8
obs,7,7,morning,100,161,28
obs,7,7,morning,100,162,24
obs,7,7,morning,100,163,20
obs,7,7,morning,100,186,28
obs,7,7,morning,100,230,46
obs,7,7,morning,161,100,53
obs,7,7,morning,161,161,103
obs,7,7,morning,161,162,107
obs,7,7,morning,161,163,92
obs,7,7,morning,161,186,98
obs,7,7,morning,161,230,124
